Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions
Riddler's Revenge,Six Flags Magic Mountain,Steel,65,156,146,437,18,Yes
Rewind Racers,Adventure City,Steel,31.1,39.3,,593.8,,No
Red Fire,ViaSea,Steel,68.4,18.4,,3215.3,,Yes
Rattler,Six Flags Fiesta Texas,Wood,73,179.5,166.5,58,146,No
Raptor,Gardaland,Steel,55.9,18.3,,2526.3,9,Yes
Rainier Rush,Washington State Fair,Steel,45,63,,1775,,Yes
Raging Bull,Six Flags Great America,Steel,73,22,28,557,15,No
Polar X-plorer,Legoland Billund,Steel,4.4,65.6,,1633.8,,No
Phantom's Revenge,Kennywood Park,Steel,82,16,228,32,,No
Parrot Coaster,Chimelong Ocean Kingdom,Steel,67.1,164.1,,4192.9,,Yes
Outlaw Run,Silver Dollar City,Wood,68,17,162,2937,87,Yes
Orient Express,Worlds of Fun,Steel,65,117,115,347,15,Yes
Oblivion - The Black Hole,Gardaland,Steel,62.1,139.4,,1856.9,,Yes
Oblivion,Alton Towers,Steel,68,65,18,1222,,No
Nitro,Six Flags Great Adventure,Steel,8,23,215,5394,24,No
Nitro,Adlabs Imagica,Steel,65.2,132,,28,15,Yes
New Mexico Rattler,Cliff's Amusement Park,Wood,47,8,75,275,75,No
Motorbike Roller Coaster,Happy World,Steel,44.7,47.1,,196.7,,No
Monster,Walygator Parc,Steel,55.9,131.3,,3937,148,Yes
Mind Eraser,Six Flags America,Steel,55,115,95,217,125,Yes
Millennium Force,Cedar Point,Steel,93,31,3,6595,165,No
Mega-Lite,Happy Valley,Steel,52.8,11.7,98.4,2477,,No
Medusa,Six Flags Marine World,Steel,65,15,15,3937,195,Yes
Mean Streak,Cedar Point,Wood,65,161,155,5427,193,No
Max Speed,Suzhou Amusement Land,Steel,49.7,147.7,114.8,876,1,Yes
Maskerade,Wiener Prater,Steel,25.5,32.8,,774.3,,No
Manta,SeaWorld Orlando,Steel,56,14,113,3359,155,Yes
Manhattan Express,New York Hotel & Casino,Steel,67,23,144,4777,16,Yes
Mamba,Worlds of Fun,Steel,75,25,25,56,18,No
Magnum XL-2,Cedar Point,Steel,72,25,194.6,516,12,No
Magic Ring Vertical Coaster,Chuanlord Holiday Manor,Steel,65.3,151.6,,59.6,,Yes
LEGO TECHNIC Test Track,Legoland Florida,Steel,35,51.8,49.8,1312.3,95,No
Kraken,SeaWorld Orlando,Steel,65,149,144,4177,219,Yes
Kong,Six Flags Marine World,Steel,55,115,95,217,125,Yes
Kid's Roller Coaster,Vinpearl Land,Steel,21.7,27.9,,679.2,,No
Karacho,Erlebnispark Tripsdrill,Steel,62.1,98.4,,2296.6,,Yes
Jurassic Coaster,Parc du Bocasse,Steel,29.1,42.7,,1377.9,9,No
Junker,PowerLand,Steel,64.9,131.3,,2821.5,,Yes
Jungle Trailblazer,Oriental Heritage,Wood,55.3,16.2,,3218.5,15,Yes
iSpeed,Mirabilandia,Steel,74.6,18.4,,328.8,,Yes
Iron Wolf,Six Flags Great America,Steel,55,1,9,29,12,Yes
Iron Shark,Galveston Island Historic Pleasure Pier,Steel,52,1,,1246,6,Yes
Iron Rattler,Six Flags Fiesta Texas,Steel,7,179,171,3266,,Yes
Invertigo,Paramount's Great America,Steel,55,138,138,985,9,Yes
Intimidator 35,Kings Dominion,Steel,9,35,3,51,18,No
Intimidator,Carowinds,Steel,75,232,211,5316,213,No
Insider,Wiener Prater,Steel,22.4,36.4,,984.3,68,No
Insane,Grsna Lund,Steel,37.3,116.5,,82.3,,No
Inertia Airplane Car,Kaeson Youth Park,Steel,25.7,5,,1282.8,,Yes
Incredible Hulk,Universal Studios Islands of Adventure,Steel,67,11,15,37,135,Yes
Impulse,Knoebels Amusement Park & Resort,Steel,55,98,,1975,,Yes
HyperSonic XLC,Paramount's Kings Dominion,Steel,8,165,133,156,,No
Hurricane,Myrtle Beach Pavilion,Wood,55,11.5,1,38,12,No
Hurricane,Race City PCB,Steel,35,59,,1427,86,No
Huracan,Belantis,Steel,52.8,15,,1837.3,9,Yes
Holly's Wilde Autofahrt,Holiday Park,Steel,28,49.3,,1213.9,94,No
Hero,Flamingo Land Theme Park & Zoo,Steel,25.7,5,,1282.8,,Yes
Hercules,Dorney Park,Wood,65,95,151,4,135,No
Helix,Liseberg,Steel,62.1,134.5,,453.8,13,Yes
Hayabusa,Tokyo SummerLand,Steel,6.3,137.8,124.67,2559.1,18,No
Hangman,Wild Adventures,Steel,55,115,95,217,125,Yes
Hanging Roller Coaster,Crab Island Resort,Steel,49.7,18.3,95.2,2624.7,13,Yes
Hand Roller Coaster,Harbin Amusement Park,Steel,49.7,18.3,95.2,2624.7,13,Yes
Gwazi,Lion Park Resort,Steel,47.9,8.4,,1942.3,12,Yes
Green Lantern: First Flight,Six Flags Magic Mountain,Steel,37,17,,825,,No
Green Lantern,Six Flags Great Adventure,Steel,63,154,144,4155,15,Yes
Great American Scream Machine,Six Flags Great Adventure,Steel,68,173,155,38,14,Yes
